"exposure","outcome","beta","se","t_value","p_value","n","exp_label","chem_class","is_urinary","out_label","out_domain","type","p_fdr","p_bonf","sig_nom","sig_fdr05","sig_fdr01","sig_bonf05","direction"
"log_LBXBMN","BMXWAIST",7.51521103358822,0.901244954964333,8.33869969778154,0.00361522913815734,4756,"Blood manganese","Heavy metals",FALSE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBMN","BMXBMI",2.72840137912689,0.356821431636523,7.64640556093665,0.00464498391718622,4944,"Blood manganese","Heavy metals",FALSE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","BMXWAIST",-4.28890024610924,0.633609932517959,-6.76899149775823,0.00658850854058208,4756,"Blood lead","Heavy metals",FALSE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_LBXBPB","BMXBMI",-1.91499707761654,0.285815149615286,-6.70012446923882,0.00678338820138651,4944,"Blood lead","Heavy metals",FALSE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_LBXBMN","LBXRBCSI",0.216504221523816,0.0199811545356737,10.8354210031896,0.00841012924371505,4941,"Blood manganese","Heavy metals",FALSE,"RBC count","Hematology","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBSE","LBXHGB",2.14003040142553,0.210943116294336,10.1450591942497,0.00957672591860451,4941,"Blood selenium","Heavy metals",FALSE,"Hemoglobin","Hematology","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXP06","BMXBMI",1.33258627919643,0.259167216224856,5.14180110666568,0.014254011780731,1669,"1-Hydroxyphenanthrene","PAHs",TRUE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBSE","LBXTC",35.2283768426208,4.47753151732606,7.86781214298607,0.0157732455235149,4855,"Blood selenium","Heavy metals",FALSE,"Total cholesterol","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBCD","BMXBMI",-1.25979097388116,0.259539247862699,-4.85395170193145,0.0166920143185493,4944,"Blood cadmium","Heavy metals",FALSE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_LBXBCD","BMXWAIST",-2.75480196906627,0.580940404627313,-4.74196999747941,0.0177866270095393,4756,"Blood cadmium","Heavy metals",FALSE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_URXP04","BMXBMI",0.986916013620727,0.211864220186031,4.65824768691075,0.0186666278020867,1667,"2-Hydroxyfluorene","PAHs",TRUE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","LBXTC",8.79325594619523,1.22162115391113,7.19802200382896,0.0187593375091511,4855,"Blood lead","Heavy metals",FALSE,"Total cholesterol","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXTHG","log_LBXSAPSI",-0.034283963883259,0.00481284241665222,-7.12343370409095,0.0191429781551475,4833,"Blood mercury (total)","Heavy metals",FALSE,"Alk Phos (log)","Liver","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_LBXBSE","LBXRBCSI",0.544858261682871,0.0773557824654527,7.04353629835244,0.0195669966458731,4941,"Blood selenium","Heavy metals",FALSE,"RBC count","Hematology","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","LBXGH",-0.203082068752673,0.0295793395564124,-6.86567285808947,0.0205624784665171,4937,"Blood lead","Heavy metals",FALSE,"HbA1c","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_LBXTHG","BMXWAIST",-1.43441004694725,0.329310712889324,-4.35579527420153,0.0223584829771934,4756,"Blood mercury (total)","Heavy metals",FALSE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_URXECP","LBXSBU",0.891593715355405,0.141575916997598,6.29763687400683,0.0242989269037419,1578,"Mono-2-ethyl-5-carboxypentyl (MECPP)","Phthalates",TRUE,"Blood urea nitrogen","Kidney","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXP01","PHQ9_total",0.412145377783446,0.0662858839546453,6.21769452551086,0.024904478507693,1530,"1-Hydroxynaphthalene","PAHs",TRUE,"PHQ-9 depression","Mental health","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXP06","BMXWAIST",2.77867900530501,0.671141895867093,4.14022581873696,0.0255834058969396,1615,"1-Hydroxyphenanthrene","PAHs",TRUE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMHH","LBXSBU",0.809037340104061,0.133790901056902,6.04702811411645,0.0262743776133759,1578,"Mono-2-ethyl-5-hydroxyhexyl (MEHHP)","Phthalates",TRUE,"Blood urea nitrogen","Kidney","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMOH","BMXWAIST",1.33880956448186,0.328631176994143,4.073896995189,0.0266952749684836,1618,"Mono-2-ethyl-5-oxohexyl (MEOHP)","Phthalates",TRUE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","LBXHGB",0.229114683930972,0.0385805825801895,5.93860093882094,0.0272034180501372,4941,"Blood lead","Heavy metals",FALSE,"Hemoglobin","Hematology","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMOH","LBXSBU",0.860467198388792,0.151642506420839,5.67431400797886,0.0296821277347735,1578,"Mono-2-ethyl-5-oxohexyl (MEOHP)","Phthalates",TRUE,"Blood urea nitrogen","Kidney","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","LBXRBCSI",0.0775420929747741,0.0138600829537966,5.59463411822751,0.0304950668816006,4941,"Blood lead","Heavy metals",FALSE,"RBC count","Hematology","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMC1","LBXSBU",1.01995572077128,0.182661031738179,5.58387145339932,0.0306073886552278,1578,"Mono-carboxyisononyl (MCNP)","Phthalates",TRUE,"Blood urea nitrogen","Kidney","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBMN","eGFR",4.28275927809356,0.770131617943451,5.56107446871248,0.0308473299385041,4834,"Blood manganese","Heavy metals",FALSE,"eGFR","Kidney","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXP04","BMXWAIST",2.33544176776771,0.612057651944893,3.81572186924964,0.0316649373353943,1613,"2-Hydroxyfluorene","PAHs",TRUE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBCD","log_HOMA_IR",-0.113453817543102,0.0209381747575401,-5.41851516939154,0.0324127360322751,2342,"Blood cadmium","Heavy metals",FALSE,"HOMA-IR (log)","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
