"exposure","outcome","beta","se","t_value","p_value","n","df","p_fdr","sig_fdr05","sig_fdr01","sig_bonf"
"log_LBXPFHS","log_LBXSATSI",0.0276872519665767,0.0228253075577474,1.2130067424734,0.264468061518133,1591,7,0.595984363984524,FALSE,FALSE,FALSE
"log_LBXPFNA","log_LBXSATSI",0.0485321404046026,0.0186667287141535,2.59992745101634,0.035428905582134,1591,7,0.288123395097827,FALSE,FALSE,FALSE
"log_LBXPFDE","log_LBXSATSI",0.0243975483276056,0.0253190521121991,0.963604333191073,0.367343624077566,1591,7,0.678825561336792,FALSE,FALSE,FALSE
"log_LBXPFUA","log_LBXSATSI",0.0182146093983154,0.0300683844214063,0.605772799197953,0.56378331149183,1591,7,0.81486764240992,FALSE,FALSE,FALSE
"log_LBXMPAH","log_LBXSATSI",-0.0134785387328585,0.0304914419983057,-0.442043335753274,0.671792364856761,1591,7,0.873284590741355,FALSE,FALSE,FALSE
"log_LBXBPB","log_LBXSATSI",0.0375513867056715,0.0119663608923242,3.13807907379416,0.0164232026059306,4833,7,0.222060204249203,FALSE,FALSE,FALSE
"log_LBXBCD","log_LBXSATSI",-0.00762579308090075,0.0177520213945884,-0.429573225008924,0.680419028701126,4833,7,0.876781567185344,FALSE,FALSE,FALSE
"log_LBXTHG","log_LBXSATSI",0.028504927485677,0.0134352565166266,2.1216511534708,0.0715468417091481,4833,7,0.352012916759203,FALSE,FALSE,FALSE
"log_LBXBSE","log_LBXSATSI",0.332531224631579,0.0628845639490358,5.28796263739819,0.00113815361859604,4833,7,0.0682892171157622,FALSE,FALSE,FALSE
"log_LBXBMN","log_LBXSATSI",0.117822213434805,0.021452752373149,5.49217235091359,0.00091408867277599,4833,7,0.0605189741975828,FALSE,FALSE,FALSE
"log_URXMZP","log_LBXSATSI",-0.00939372683550935,0.0192193187383335,-0.488764818535076,0.642358466515901,1580,6,0.855290052503835,FALSE,FALSE,FALSE
"log_URXMNP","log_LBXSATSI",-3.52616496081903e-05,0.0337308636976557,-0.00104538235143504,0.999199795999061,1580,6,0.999748331099817,FALSE,FALSE,FALSE
"log_URXMC1","log_LBXSATSI",-0.0073173985385118,0.0168316527694439,-0.434740345392329,0.678951380305997,1580,6,0.876655447335248,FALSE,FALSE,FALSE
"log_URXMHH","log_LBXSATSI",-0.021263366820172,0.0214457186765392,-0.991497050804522,0.359728564981103,1580,6,0.670500374967838,FALSE,FALSE,FALSE
"log_URXMOH","log_LBXSATSI",-0.0588138317010635,0.0212053722406793,-2.77353450972381,0.0322714032106264,1580,6,0.282606183171537,FALSE,FALSE,FALSE
"log_URXMHP","log_LBXSATSI",-0.0223886378772187,0.0219852386933584,-1.01834863789685,0.347803960316255,1580,6,0.661171884957634,FALSE,FALSE,FALSE
"log_URXMIB","log_LBXSATSI",0.0178846718708711,0.0252263111952185,0.708968970233785,0.50494502230663,1580,6,0.771747285320645,FALSE,FALSE,FALSE
"log_URXMEP","log_LBXSATSI",-0.00943648105508928,0.0126385189608972,-0.746644530445789,0.48349733899013,1580,6,0.75417857193172,FALSE,FALSE,FALSE
