"screen","exposure","outcome","beta","se","t_value","p_value","n","df","weight","exp_label","out_label","chem_class","out_domain","type","p_fdr_global","p_bonf_global","sig_nominal","sig_fdr05","sig_fdr01","sig_bonf","direction"
"Expanded","log_LBXBMN","LBXRBCSI",0.229889235195294,0.0204285408497777,11.253336050078,9.77399791294548e-06,4873,7,NA,"Blood manganese","RBC count","Heavy metals","Hematology","continuous",0.023533295411606,0.0273280981645956,TRUE,TRUE,FALSE,TRUE,"Positive"
"Expanded","log_LBXBSE","LBXHGB",2.16038246886584,0.214512557948993,10.071123525456,2.04172382083428e-05,4873,7,NA,"Blood selenium","Hemoglobin","Heavy metals","Hematology","continuous",0.023533295411606,0.0570865980305265,TRUE,TRUE,FALSE,FALSE,"Positive"
"Novelty","log_URXUP8","LBXSBU",1.21056984766288,0.124143298853187,9.75139100415329,2.52503169652425e-05,1579,7,"WTSA2YR","Urinary perchlorate","BUN","Urinary elements","Kidney","continuous",0.023533295411606,0.070599886234818,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_URXMOH","LBXSTB",-0.0626700224601017,0.00586798102591738,-10.6799974613592,3.97552863081958e-05,1580,6,NA,"MEOHP (phthalate)","Total bilirubin","Phthalates","Liver","continuous",0.0242935217095206,0.111155780517715,TRUE,TRUE,FALSE,FALSE,"Negative"
"Novelty","log_LBXBGM","LBXSAPSI",-2.84151058542693,0.321207114229659,-8.84635009483408,4.77058861535305e-05,4834,7,"WTMEC2YR","Methylmercury (blood)","Alk Phosphatase","Heavy metals","Liver","continuous",0.0242935217095206,0.133385657685271,TRUE,TRUE,FALSE,FALSE,"Negative"
"Expanded","log_LBXBMN","BMXWAIST",7.16341135638076,0.934470756688438,7.66574160305063,5.92947736151491e-05,4693,8,NA,"Blood manganese","Waist circumference","Heavy metals","Anthropometric","continuous",0.0242935217095206,0.165788187027957,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_URXMHH","LBXSTB",-0.0634451514261317,0.00639914545088636,-9.91462874427144,6.08206909751947e-05,1580,6,NA,"MEHHP (phthalate)","Total bilirubin","Phthalates","Liver","continuous",0.0242935217095206,0.170054651966644,TRUE,TRUE,FALSE,FALSE,"Negative"
"Expanded","log_LBXBSE","LBXTC",39.5894816211541,4.88005050196857,8.11251473835855,8.33636069676326e-05,4855,7,NA,"Blood selenium","Total cholesterol","Heavy metals","Metabolic","continuous",0.0291355806351876,0.233084645081501,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBMN","BMXBMI",2.58502817280921,0.366613550934491,7.05109826469867,0.000107052659899134,4876,8,NA,"Blood manganese","BMI","Heavy metals","Anthropometric","continuous",0.0302352946567592,0.299319237077979,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBPB","BMXWAIST",-4.35211828713584,0.624049892214508,-6.97399092834049,0.000115605148317772,4693,8,NA,"Blood lead","Waist circumference","Heavy metals","Anthropometric","continuous",0.0302352946567592,0.323231994696491,TRUE,TRUE,FALSE,FALSE,"Negative"
"Expanded","log_URXUPB","eGFR",6.54916901125223,0.745723075125177,8.78230703824324,0.000120827981789071,1589,6,NA,"Urinary lead","eGFR (kidney)","Urinary metals/elements","Kidney","continuous",0.0302352946567592,0.337835037082242,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBPB","BMXBMI",-1.94585455197195,0.288717432619485,-6.73965037135976,0.000146602208533913,4876,8,NA,"Blood lead","BMI","Heavy metals","Anthropometric","continuous",0.0302352946567592,0.409899775060821,TRUE,TRUE,FALSE,FALSE,"Negative"
"Expanded","log_LBXTHG","log_LBXSAPSI",-0.0368869769949993,0.0049881226229182,-7.39496194931537,0.000150064549448106,4833,7,NA,"Blood mercury (total)","Alk Phosphatase (log)","Heavy metals","Liver","continuous",0.0302352946567592,0.419580480256904,TRUE,TRUE,FALSE,FALSE,"Negative"
"Novelty","log_URXUDMA","LBXSUA",0.201549960921666,0.0273378851883278,7.37255129770317,0.000152957064386246,1593,7,"WTSA2YR","Dimethylarsonic acid (urinary)","Uric acid","Urinary metals/elements","Metabolic","continuous",0.0302352946567592,0.427667952023944,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_URXUCS","eGFR",9.78196418579374,1.17395613560475,8.33247843690059,0.000162206516398923,1589,6,NA,"Urinary cesium","eGFR (kidney)","Urinary metals/elements","Kidney","continuous",0.0302352946567592,0.453529419851389,TRUE,TRUE,FALSE,FALSE,"Positive"
"Novelty","log_SSGLYP","LBXSBU",1.21963698568042,0.170312348891331,7.16117764577728,0.000183559315122655,1371,7,"WTSSBJ2Y","Glyphosate (surplus serum)","BUN","Surplus serum","Kidney","continuous",0.0311559984851665,0.513231845082943,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBSE","LBXRBCSI",0.550648665661438,0.0772821835584065,7.12516960969771,0.000189432036569324,4873,7,NA,"Blood selenium","RBC count","Heavy metals","Hematology","continuous",0.0311559984851665,0.52965197424783,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBPB","LBXTC",9.10206678879978,1.30048579584163,6.99897439703231,0.000211747747907789,4855,7,NA,"Blood lead","Total cholesterol","Heavy metals","Metabolic","continuous",0.0316472678571849,0.592046703150178,TRUE,TRUE,FALSE,FALSE,"Positive"
