"exposure","outcome","beta","se","t_value","p_value","n","df","weight","p_fdr","sig_fdr05","sig_fdr01"
"log_URXUP8","LBXSBU",1.21056984766288,0.124143298853187,9.75139100415329,2.52503169652425e-05,1579,7,"WTSA2YR",0.00400729443689656,TRUE,TRUE
"log_LBXBGM","LBXSAPSI",-2.84151058542693,0.321207114229659,-8.84635009483408,4.77058861535305e-05,4834,7,"WTMEC2YR",0.00400729443689656,TRUE,TRUE
"log_URXUDMA","LBXSUA",0.201549960921666,0.0273378851883278,7.37255129770317,0.000152957064386246,1593,7,"WTSA2YR",0.00760621030043928,TRUE,TRUE
"log_SSGLYP","LBXSBU",1.21963698568042,0.170312348891331,7.16117764577728,0.000183559315122655,1371,7,"WTSSBJ2Y",0.00760621030043928,TRUE,TRUE
"log_LBXBGM","BMXWAIST",-1.78258170566132,0.281788420364878,-6.32595797709899,0.000226375306560693,4693,8,"WTMEC2YR",0.00760621030043928,TRUE,TRUE
"log_SSGLYP","LBXSCLSI",0.455408806803899,0.0687651812192174,6.62266569693309,0.000297969646036548,1374,7,"WTSSBJ2Y",0.00834315008902333,TRUE,TRUE
"log_URXUIO","BMXBMI",1.17730887940372,0.205467642152921,5.72989920489522,0.000439008741416173,1600,8,"WTSA2YR",0.0105362097939882,TRUE,FALSE
"log_URXUIO","BMXWAIST",3.1596708464355,0.588651304279862,5.36764434812719,0.000671494073134768,1550,8,"WTSA2YR",0.0141013755358301,TRUE,FALSE
"log_URXUIO","LBXSBU",0.911878304080029,0.167020509416689,5.45967861830093,0.000946193033838276,1590,7,"WTSA2YR",0.0176622699649811,TRUE,FALSE
"log_LBXBGM","BMXBMI",-0.566869059213293,0.123315713280121,-4.59689235163086,0.00176260027612233,4876,8,"WTMEC2YR",0.0269607336229104,TRUE,FALSE
"log_URXUDMA","LBXSBU",0.876994586127705,0.181653475070071,4.82784370510618,0.00190418607662362,1593,7,"WTSA2YR",0.0269607336229104,TRUE,FALSE
"log_URXUIO","LBXSCLSI",0.49331937792229,0.10258022393873,4.80910802277975,0.00194573002969902,1590,7,"WTSA2YR",0.0269607336229104,TRUE,FALSE
"log_LBXBGM","LBXHGB",0.0835938637491061,0.0176028909116089,4.74887131715262,0.00208624724462997,4873,7,"WTMEC2YR",0.0269607336229104,TRUE,FALSE
"log_SSGLYP","LBXSNASI",0.404397879589132,0.0954473817572706,4.2368671842413,0.00385521952589061,1374,7,"WTSSBJ2Y",0.0462626343106874,TRUE,FALSE
"log_LBXBGM","LBXSBU",0.385588350969818,0.0947439775142779,4.06979273074861,0.00475046883688853,4833,7,"WTMEC2YR",0.0532052509731516,FALSE,FALSE
"log_URXUIO","LBXSPH",0.0641905920039068,0.0161105737597576,3.98437653190527,0.00529425805957872,1590,7,"WTSA2YR",0.0555897096255766,FALSE,FALSE
"log_LBXVBZ","LBXWBCSI",0.503318262735876,0.128857634093712,3.90600266934774,0.00585346482652633,2327,7,"WTMEC2YR",0.0578460053444955,FALSE,FALSE
