"exposure","outcome","outcome_type","beta","se","t_value","p_value","n","p_fdr","p_bonferroni","sig_fdr05","sig_fdr01","sig_bonf","exposure_label","outcome_label"
"log_PFDeA","LBXTT3","continuous",-2.10734539535635,0.834932699318943,-2.5239703715944,0.0650809678829765,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFDeA","Total T3"
"log_PFNA","LBXT3F","continuous",0.0345416006964562,0.0154197800634079,2.24008387632102,0.0886136981656854,1384,0.993135844883168,1,FALSE,FALSE,FALSE,"PFNA","Free T3"
"log_PFUA","TPO_positive","binary",-0.308031625703742,0.152025794370522,-2.02618001095917,0.112701690825688,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFUA","TPO Ab positive"
"log_PFUA","LBXTT3","continuous",-1.89051769871735,0.961590002832946,-1.96603302150364,0.120716921237426,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFUA","Total T3"
"log_PFDeA","LBXT3F","continuous",0.0218468714507886,0.0125725304353549,1.73766701644671,0.157266324407416,1384,0.993135844883168,1,FALSE,FALSE,FALSE,"PFDeA","Free T3"
"log_PFUA","log_TPO","continuous",-0.0977516010916406,0.0727315358857612,-1.34400573150522,0.250115729883863,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFUA","log TPO Ab"
"log_PFUA","LBXTT4","continuous",-0.101401506644176,0.0788908147054619,-1.28533983357578,0.268045750232205,1383,0.993135844883168,1,FALSE,FALSE,FALSE,"PFUA","Total T4"
"log_PFNA","TPO_positive","binary",-0.242594855603076,0.201346219724197,-1.2048642181382,0.294664600139,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFNA","TPO Ab positive"
"log_PFDeA","TPO_positive","binary",-0.175693824046912,0.148147281450019,-1.18594025031898,0.30127810330875,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFDeA","TPO Ab positive"
"log_PFUA","TgAb_positive","binary",-0.178199556833279,0.156715474959601,-1.13708972824296,0.318995751936662,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFUA","Tg Ab positive"
"log_PFOS","LBXTT4","continuous",-0.0727926249196874,0.0650345205039533,-1.11929209834433,0.325686441515929,1383,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOS","Total T4"
"log_PFHxS","LBXTT4","continuous",-0.0778024393673165,0.0780011973049826,-0.997451860426079,0.374996340733662,1383,0.993135844883168,1,FALSE,FALSE,FALSE,"PFHxS","Total T4"
"log_PFDeA","LBXT4F","continuous",0.0089544920568754,0.0100325930943447,0.892540141184733,0.422546248625369,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFDeA","Free T4"
"log_PFOS","LBXTT3","continuous",-0.900676253097364,1.04156191343484,-0.864736163524967,0.435960544694756,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOS","Total T3"
"log_PFNA","log_TSH","continuous",0.0292836037038072,0.035915985198488,0.815336222631029,0.460643005165545,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFNA","log TSH"
"log_PFUA","LBXT3F","continuous",0.0114756560048202,0.014290983222136,0.802999753512061,0.46697674922403,1384,0.993135844883168,1,FALSE,FALSE,FALSE,"PFUA","Free T3"
"log_PFOS","LBXT3F","continuous",0.00949070764899194,0.0120580395700897,0.787085462261538,0.475247695603572,1384,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOS","Free T3"
"log_PFHxS","TgAb_positive","binary",-0.145007093633691,0.18535231861677,-0.78233223471838,0.477739935780634,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFHxS","Tg Ab positive"
"log_PFUA","log_TSH","continuous",0.0280820850597143,0.0377744693423736,0.743414415837024,0.498523712061963,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFUA","log TSH"
