exposure,outcome,beta,se,p_value,beta_primary,pct_change,direction_match,age_sq_beta,age_sq_p,n
log_LBXBSE,LBXHGB,2.1260121591185226,0.21812407201565545,6.702828908027004e-5,2.16038246886584,-1.5909363384790538,TRUE,-2.3070567173566833e-4,0.00617859814729539,4873
log_URXUP8,LBXSBU,1.164347474060368,0.11330725487600136,4.958016927127338e-5,1.21056984766288,-3.8182326853546273,TRUE,0.001781622712275355,0.050934937483355244,1579
log_LBXBGM,LBXSAPSI,-2.8514895296797316,0.31846689380757065,1.08369279141786e-4,-2.84151058542693,-0.35118448278813064,TRUE,-7.142189953149951e-4,0.7267038038486586,4834
log_LBXBMN,BMXWAIST,6.935718932341186,0.9165005046191772,1.2973854666201571e-4,7.16341135638076,-3.1785473807358398,TRUE,-0.00739988996718836,9.431774979530745e-4,4693
log_LBXBSE,LBXTC,35.22240266654423,4.65863286153765,2.779786088776476e-4,39.5894816211541,-11.03090713942661,TRUE,-0.02958087532573457,5.620119252685312e-5,4855
log_LBXBMN,BMXBMI,2.478797487380634,0.363362167182011,2.4823740859266605e-4,2.58502817280921,-4.109459484657468,TRUE,-0.0033619506176884232,4.099453573476972e-4,4876
log_LBXBPB,BMXWAIST,-4.41110812160964,0.6361049108514091,2.2426881708576568e-4,-4.35211828713584,-1.3554281060825997,TRUE,-0.007827580865169298,6.883597121079316e-4,4693
log_LBXBPB,BMXBMI,-1.9671210377649153,0.2918414199873669,2.6735355365182606e-4,-1.94585455197195,-1.0929124055759323,TRUE,-0.0035149066846593123,3.2210042742350514e-4,4876
log_LBXTHG,log_LBXSAPSI,-0.03708819194100166,0.004975012239707966,3.0034928196295325e-4,-0.0368869769949993,-0.5454904749435995,TRUE,-1.0295872124249771e-5,0.6580832577753026,4833
log_URXUDMA,LBXSUA,0.1928806049826626,0.028839919161446983,5.417604749884397e-4,0.201549960921666,-4.301343398609146,TRUE,6.36499367285155e-4,0.0019830103585137507,1593
log_LBXBSE,LBXRBCSI,0.5393493728539678,0.07799932354059161,4.525428326587137e-4,0.550648665661438,-2.0519967652872695,TRUE,-7.58448485466965e-5,0.002483459837008076,4873
log_LBXBPB,LBXTC,8.596869531442605,1.2361531986928513,4.387136855683152e-4,9.10206678879978,-5.550357617446038,TRUE,-0.030132077581486005,4.7008616918844055e-5,4855
log_LBXBGM,BMXWAIST,-1.8479897177013764,0.28349883081041055,3.283736539151911e-4,-1.78258170566132,-3.669285499358959,TRUE,-0.007895647643727697,6.468950809078576e-4,4693
log_LBXBPB,LBXGH,-0.1913134145078632,0.028927581200988147,5.753290019034687e-4,-0.189035197919653,-1.2051811584732115,TRUE,-1.3797873410728792e-4,0.024788848178795366,4874
log_URXUIO,BMXBMI,1.3423493898271122,0.23400164901418763,7.081822742167188e-4,1.17730887940372,14.01845457132552,TRUE,-0.004280723275882466,0.01122457427191336,1600
