"exposure","outcome","analysis","beta","se","p_value","n","beta_primary","exp_label","out_label","direction_match","pct_change"
"log_LBXBSE","LBXHGB","Primary model",2.16038246886583,0.214512557949002,2.04172382083492e-05,4873,2.16038246886584,"Blood selenium","Hemoglobin",TRUE,-5.13901145109737e-13
"log_LBXBSE","LBXHGB","Females only",2.34090117187249,0.216503371054244,4.72417296465749e-06,2530,2.16038246886584,"Blood selenium","Hemoglobin",TRUE,8.35586779693773
"log_LBXBSE","LBXHGB","Males only",1.93697310459096,0.321134096639846,0.000312200373091335,2343,2.16038246886584,"Blood selenium","Hemoglobin",TRUE,-10.34119501961
"log_LBXBSE","LBXHGB","Age < 50",2.39959292338103,0.255546940034109,3.23448712881624e-05,2178,2.16038246886584,"Blood selenium","Hemoglobin",TRUE,11.0725974665388
"log_LBXBSE","LBXHGB","Age >= 50",1.85433946126174,0.31808514681059,0.000643752061427845,2695,2.16038246886584,"Blood selenium","Hemoglobin",TRUE,-14.1661493746875
"log_LBXBSE","LBXHGB","Excl. outliers (>P99)",2.4141608964495,0.23148514687624,1.62086005288615e-05,4824,2.16038246886584,"Blood selenium","Hemoglobin",TRUE,11.7469212623673
"log_LBXBSE","LBXHGB","Adjust for education",2.16576006747037,0.212576782280065,0.0622869004881579,4873,2.16038246886584,"Blood selenium","Hemoglobin",TRUE,0.248918822570788
"log_LBXBSE","LBXHGB","Cotinine instead of smoking",2.16419140514411,0.214774081107096,2.03442038643555e-05,4873,2.16038246886584,"Blood selenium","Hemoglobin",TRUE,0.176308423770358
"log_LBXBSE","LBXHGB","Adults 20+ only",2.16038246886583,0.214512557949002,2.04172382083492e-05,4873,2.16038246886584,"Blood selenium","Hemoglobin",TRUE,-5.13901145109737e-13
"log_URXUP8","LBXSBU","Primary model",1.21056984766288,0.124143298853187,2.52503169652425e-05,1579,1.21056984766288,"Urinary perchlorate","BUN",TRUE,-1.65079400266196e-13
"log_URXUP8","LBXSBU","Females only",1.44402943565793,0.228985404629374,0.000231235798178207,803,1.21056984766288,"Urinary perchlorate","BUN",TRUE,19.2850985381605
"log_URXUP8","LBXSBU","Males only",0.870017304791428,0.23314624703014,0.0057741676946929,776,1.21056984766288,"Urinary perchlorate","BUN",TRUE,-28.13158972437
"log_URXUP8","LBXSBU","Age < 50",0.964507833110255,0.160704653140423,0.000541317376084366,692,1.21056984766288,"Urinary perchlorate","BUN",TRUE,-20.3261311214442
"log_URXUP8","LBXSBU","Age >= 50",1.38191145760009,0.238160193301248,0.000661885670174378,887,1.21056984766288,"Urinary perchlorate","BUN",TRUE,14.1537979215328
"log_URXUP8","LBXSBU","Excl. outliers (>P99)",1.27701391533143,0.134185852390361,2.96269526349587e-05,1563,1.21056984766288,"Urinary perchlorate","BUN",TRUE,5.48866038558869
"log_URXUP8","LBXSBU","Adjust for education",1.20937447689077,0.12218673445957,0.00219344712397463,1579,1.21056984766288,"Urinary perchlorate","BUN",TRUE,-0.0987444693437341
"log_URXUP8","LBXSBU","Cotinine instead of smoking",1.21015719301968,0.127506860241442,3.01593824254331e-05,1579,1.21056984766288,"Urinary perchlorate","BUN",TRUE,-0.034087636000219
"log_URXUP8","LBXSBU","Adults 20+ only",1.21056984766288,0.124143298853187,2.52503169652425e-05,1579,1.21056984766288,"Urinary perchlorate","BUN",TRUE,-1.65079400266196e-13
"log_LBXBGM","LBXSAPSI","Primary model",-2.84151058542693,0.321207114229659,4.77058861535305e-05,4834,-2.84151058542693,"Methylmercury (blood)","Alk Phosphatase",TRUE,1.56286311980548e-14
"log_LBXBGM","LBXSAPSI","Females only",-2.89110741460357,0.696737108839507,0.0032111984494067,2513,-2.84151058542693,"Methylmercury (blood)","Alk Phosphatase",TRUE,-1.74543883211303
"log_LBXBGM","LBXSAPSI","Males only",-2.62758345331037,0.650017871202345,0.0037236956815472,2321,-2.84151058542693,"Methylmercury (blood)","Alk Phosphatase",TRUE,7.52864104092066
"log_LBXBGM","LBXSAPSI","Age < 50",-3.07828971530128,0.522688935631813,0.000605971631821896,2163,-2.84151058542693,"Methylmercury (blood)","Alk Phosphatase",TRUE,-8.33286108764497
"log_LBXBGM","LBXSAPSI","Age >= 50",-2.64486302890364,0.722363081293166,0.00805533538938805,2671,-2.84151058542693,"Methylmercury (blood)","Alk Phosphatase",TRUE,6.92052873326678
"log_LBXBGM","LBXSAPSI","Excl. outliers (>P99)",-2.75314901900997,0.29049768317022,3.04432673665258e-05,4784,-2.84151058542693,"Methylmercury (blood)","Alk Phosphatase",TRUE,3.10966873993495
"log_LBXBGM","LBXSAPSI","Adjust for education",-2.53428807441766,0.350693952639528,0.0875392988983734,4834,-2.84151058542693,"Methylmercury (blood)","Alk Phosphatase",TRUE,10.8119432172768
"log_LBXBGM","LBXSAPSI","Cotinine instead of smoking",-2.78589001727968,0.319796678627483,5.27019213466778e-05,4834,-2.84151058542693,"Methylmercury (blood)","Alk Phosphatase",TRUE,1.9574295599146
"log_LBXBGM","LBXSAPSI","Adults 20+ only",-2.84151058542693,0.321207114229659,4.77058861535305e-05,4834,-2.84151058542693,"Methylmercury (blood)","Alk Phosphatase",TRUE,1.56286311980548e-14
"log_LBXBMN","BMXWAIST","Primary model",7.16341135638079,0.934470756688445,5.92947736151506e-05,4693,7.16341135638076,"Blood manganese","Waist circumference",TRUE,4.33958670568521e-13
"log_LBXBMN","BMXWAIST","Females only",7.45382902606933,1.29847760315909,0.00027964669514801,2412,7.16341135638076,"Blood manganese","Waist circumference",TRUE,4.05418110506636
"log_LBXBMN","BMXWAIST","Males only",5.71841878345723,1.55813553731214,0.00515452656052471,2281,7.16341135638076,"Blood manganese","Waist circumference",TRUE,-20.1718497100745
